contest_id,year,election_type,contest_name_raw,contest_name,position,date,seats,valid_votes,invalid_votes,quota,election_rules,has_stv_rounds,source,source_pdf
2013|UK national|Representatives of black members,2013,UK national,Representatives of black members,Representatives of black members,Representatives of black members,04/03/2013,2,10284,2273,3428,ERS97,True,pdf,data/raw/2013/pdfs/Rep_black_members_count.pdf
2013|UK national|Representative of disabled members,2013,UK national,Representative of disabled members,Representative of disabled members,Representative of disabled members,04/03/2013,1,11034,1523,5517,ERS97,True,pdf,data/raw/2013/pdfs/Rep_disabled_members_count.pdf
2013|UK national|Honorary Secretary UCU Scotland,2013,UK national,Honorary Secretary UCU Scotland,Honorary Secretary UCU Scotland,Honorary Secretary UCU Scotland,04/03/2013,1,764,44,382,ERS97,True,pdf,data/raw/2013/pdfs/Scotland_Hon_Secretary_count.pdf
2014|UK national|Further Education Members – North East,2014,UK national,Further Education Members – North East,Further Education Members – North East,Further Education Members – North East,2/28/2014,2,532,73,177.34,ERS97,True,pdf,data/raw/2014/pdfs/FE_NE_count.pdf
2014|UK national|UK Further Education Members,2014,UK national,UK Further Education Members,UK Further Education Members,UK Further Education Members,2/28/2014,3,2857,192,668,ERS97,True,pdf,data/raw/2014/pdfs/FE_UK_Count.pdf
2014|UK national|Higher Education Members – London and the East,2014,UK national,Higher Education Members – London and the East,Higher Education Members – London and the East,Higher Education Members – London and the East,2/28/2014,4,1615,74,323,ERS97,True,pdf,data/raw/2014/pdfs/HE_LE_count.pdf
2014|UK national|Higher Education Members – North East,2014,UK national,Higher Education Members – North East,Higher Education Members – North East,Higher Education Members – North East,2/28/2014,3,1255,59,313.75,ERS97,True,pdf,data/raw/2014/pdfs/HE_NE_count.pdf
2014|UK national|UK Higher Education Members,2014,UK national,UK Higher Education Members,UK Higher Education Members,UK Higher Education Members,2/28/2014,7,7333,341,916.63,Custom,True,pdf,data/raw/2014/pdfs/HE_UK_Count.pdf
2014|UK national|Vice-President from the further education sector,2014,UK national,Vice-President from the further education sector,Vice-President from the further education sector,Vice-President from the further education sector,2/28/2014,1,10316,1283,5158,ERS97,True,pdf,data/raw/2014/pdfs/VP_Count.pdf
2014|UK national|Women members’ representatives further education,2014,UK national,Women members’ representatives further education,Women members’ representatives further education,Women members’ representatives further education,2/28/2014,2,9564,2035,3188,ERS97,True,pdf,data/raw/2014/pdfs/Women_FE_Count.pdf
