year,name_canonical,position,sector,role_type,elected_year
2013,Paul Blackledge,"UK NEC Members, HE",HE,uk_nec,2013
2013,Sean Wallis,"UK NEC Members, HE",HE,uk_nec,2013
2013,Steve Clark,"UK NEC Members, HE",HE,uk_nec,2012
2013,Veronica Killen,"UK NEC Members, HE",HE,uk_nec,2013
2013,Kathy Taylor,Immediate Past President,FE,vp_chain,2010
2013,Simon Renton,President,HE,vp_chain,2011
2013,John McCormack,President-elect,FE,vp_chain,2012
2013,Elizabeth Lawrence,Vice-President,HE,vp_chain,2013
2013,Monica Goligher,"Representatives of Women Members, FE",FE,women,2012
2013,Vicky Knight,"Representatives of Women Members, FE",FE,women,2012
2013,Ann Blair,"Representatives of Women Members, HE",HE,women,2012
2013,Pauline Collins,"Representatives of Women Members, HE",HE,women,2012
2013,Suzanne Trill,"Representatives of Women Members, HE",HE,women,2012
2014,Cecile Wright,Representatives of Black Members,HE,equality,2013
2014,Dawn Livingston,Representatives of Black Members,FE,equality,2013
2014,Roger Walters,"Representatives of Disabled Members, HE",HE,equality,2013
2014,Mary Jennings,"Representatives of LGBT+ Members, HE",HE,equality,2013
2014,Angela Roger,Honorary Treasurer,national,officer,2013
2014,Ioanna Ioannou,"NEC Members, London and the East, HE",HE,regional,2014
2014,Sean Wallis,"NEC Members, London and the East, HE",HE,regional,2014
2014,Steve Sangwine,"NEC Members, London and the East, HE",HE,regional,2014
2014,Susan Michie,"NEC Members, London and the East, HE",HE,regional,2014
2014,Brian O'Sullivan,"NEC Members, Midlands, FE",FE,regional,2013
2014,Jacqueline D'Arcy,"NEC Members, Midlands, FE",FE,regional,2013
2014,Alan J Ryan,"NEC Members, Midlands, HE",HE,regional,2013
2014,Patricia Hulme,"NEC Members, Midlands, HE",HE,regional,2013
2014,Cath Hepburn,"NEC Members, North East, FE",FE,regional,2014
2014,Lee Short,"NEC Members, North East, FE",FE,regional,2014
2014,Martin Levy,"NEC Members, North East, HE",HE,regional,2014
2014,Paul Blackledge,"NEC Members, North East, HE",HE,regional,2014
2014,Terry Murphy,"NEC Members, North East, HE",HE,regional,2014
2014,Andy Sellers,"NEC Members, North West, FE",FE,regional,2013
2014,Isabel Brotherston,"NEC Members, North West, FE",FE,regional,2013
2014,Jo McNeill,"NEC Members, North West, HE",HE,regional,2013
2014,Roger M. Walden,"NEC Members, North West, HE",HE,regional,2013
2014,Lesley Kane,"NEC Members, South, HE",HE,regional,2013
2014,Patricia McManus,"NEC Members, South, HE",HE,regional,2013
2014,Terry Hoad,"NEC Members, South, HE",HE,regional,2013
2014,Angi Lamb,UCU Scotland Honorary Secretary,HE,regional,2013
2014,Alan Barker,"UK NEC Members, FE",FE,uk_nec,2014
2014,Carolyn Campbell,"UK NEC Members, FE",FE,uk_nec,2013
2014,David Armstrong,"UK NEC Members, FE",FE,uk_nec,2013
2014,Jenny Prideaux,"UK NEC Members, FE",FE,uk_nec,2014
2014,Loraine Monk,"UK NEC Members, FE",FE,uk_nec,2013
2014,Lyndsey Nicholson,"UK NEC Members, FE",FE,uk_nec,2013
2014,Mandy Brown,"UK NEC Members, FE",FE,uk_nec,2013
2014,Margot Hill,"UK NEC Members, FE",FE,uk_nec,2014
2014,Andreas Bieler,"UK NEC Members, HE",HE,uk_nec,2014
2014,David Goode,"UK NEC Members, HE",HE,uk_nec,2014
2014,Dominique Lauterburg,"UK NEC Members, HE",HE,uk_nec,2014
2014,Gordon Watson,"UK NEC Members, HE",HE,uk_nec,2013
2014,Harriet Bradley,"UK NEC Members, HE",HE,uk_nec,2014
2014,Jimmy Donaghey,"UK NEC Members, HE",HE,uk_nec,2013
2014,Joe Gluza,"UK NEC Members, HE",HE,uk_nec,2013
2014,Julia Charlton,"UK NEC Members, HE",HE,uk_nec,2013
2014,Karen Evans,"UK NEC Members, HE",HE,uk_nec,2014
2014,Lesley McGorrigan,"UK NEC Members, HE",HE,uk_nec,2014
2014,Marion Hersh,"UK NEC Members, HE",HE,uk_nec,2013
2014,Paul Blackledge,"UK NEC Members, HE",HE,uk_nec,2013
2014,Roger Brooks,"UK NEC Members, HE",HE,uk_nec,2014
2014,Sean Wallis,"UK NEC Members, HE",HE,uk_nec,2013
2014,Veronica Killen,"UK NEC Members, HE",HE,uk_nec,2013
2014,Simon Renton,Immediate Past President,HE,vp_chain,2011
2014,John McCormack,President,FE,vp_chain,2012
2014,Elizabeth Lawrence,President-elect,HE,vp_chain,2013
2014,Rob Goodfellow,Vice-President,FE,vp_chain,2014
2014,Sue Whittaker,"Representatives of Women Members, FE",FE,women,2014
2014,Vicky Knight,"Representatives of Women Members, FE",FE,women,2014
2014,Pat Hornby Atkinson,"Representatives of Women Members, HE",HE,women,2014
2014,Saira Weiner,"Representatives of Women Members, HE",HE,women,2014
2014,Sue Abbott,"Representatives of Women Members, HE",HE,women,2014
2015,Amy Jowett,"Representatives of Casually Employed Members, FE",FE,equality,2015
2015,Vicky Blake,"Representatives of Casually Employed Members, HE",HE,equality,2015
2015,Mary Jennings,"Representatives of LGBT+ Members, HE",HE,equality,2015
2015,Ioanna Ioannou,"NEC Members, London and the East, HE",HE,regional,2014
2015,Sean Wallis,"NEC Members, London and the East, HE",HE,regional,2014
2015,Steve Sangwine,"NEC Members, London and the East, HE",HE,regional,2014
2015,Susan Michie,"NEC Members, London and the East, HE",HE,regional,2014
2015,Jacqueline D'Arcy,"NEC Members, Midlands, FE",FE,regional,2015
2015,Simon Bruce-Jones,"NEC Members, Midlands, FE",FE,regional,2015
2015,Cath Hepburn,"NEC Members, North East, FE",FE,regional,2014
2015,Lee Short,"NEC Members, North East, FE",FE,regional,2014
2015,Martin Levy,"NEC Members, North East, HE",HE,regional,2014
2015,Paul Blackledge,"NEC Members, North East, HE",HE,regional,2014
2015,Terry Murphy,"NEC Members, North East, HE",HE,regional,2014
2015,Nina Doran,"NEC Members, North West, FE",FE,regional,2015
2015,Jo McNeill,"NEC Members, North West, HE",HE,regional,2015
